Atom,Atomic Number,number of neutrons,Atomic Mass,Electron Configuration,n_s,n_el_s,n_p,n_el_p,n_d,n_el_d,n_f,n_el_f,Oxidation States,Electronegativity (Pauling Scale),Atomic Radius (van der Waals),Ionization Energy
H,1,1,1.008,1s1,1,1,0,0,0,0,0,0,"+1, -1",2.2,120,13.598
He,2,2,4.0026,1s2,1,2,0,0,0,0,0,0,0,,140,24.587
Li,3,4,7,[He]2s1,2,1,0,0,0,0,0,0,1,0.98,182,5.392
Be,4,5,9.012183,[He]2s2,2,2,0,0,0,0,0,0,2,1.57,153,9.323
B,5,6,10.81,[He]2s2 2p1,2,2,2,1,0,0,0,0,3,2.04,192,8.298
C,6,6,12.011,[He]2s2 2p2,2,2,2,2,0,0,0,0,"+4, +2",2.55,170,11.26
N,7,7,14.007,[He]2s2 2p3,2,2,2,3,0,0,0,0,"+5, +4, +3, +2, +1, -1, -2, -3",3.04,155,14.534
O,8,8,15.999,[He]2s2 2p4,2,2,2,4,0,0,0,0,-2,3.44,152,13.618
F,9,10,18.99840316,[He]2s2 2p5,2,2,2,5,0,0,0,0,-1,3.98,135,17.423
Ne,10,10,20.18,[He]2s2 2p6,2,2,2,6,0,0,0,0,0,,154,21.565
Na,11,12,22.9897693,[Ne]3s1,3,1,0,0,0,0,0,0,1,0.93,227,5.139
Mg,12,12,24.305,[Ne]3s2,3,2,0,0,0,0,0,0,2,1.31,173,7.646
Al,13,14,26.981538,[Ne]3s2 3p1,3,2,3,1,0,0,0,0,3,1.61,184,5.986
Si,14,14,28.085,[Ne]3s2 3p2,3,2,3,2,0,0,0,0,"+4, +2, -4",1.9,210,8.152
P,15,16,30.973762,[Ne]3s2 3p3,3,2,3,3,0,0,0,0,"+5, +3, -3",2.19,180,10.487
S,16,16,32.07,[Ne]3s2 3p4,3,2,3,4,0,0,0,0,"+6, +4, -2",2.58,180,10.36
Cl,17,18,35.45,[Ne]3s2 3p5,3,2,3,5,0,0,0,0,"+7, +5, +1, -1",3.16,175,12.968
Ar,18,22,39.9,[Ne]3s2 3p6,3,2,3,6,0,0,0,0,0,,188,15.76
K,19,20,39.0983,[Ar]4s1,4,1,0,0,0,0,0,0,1,0.82,275,4.341
Ca,20,20,40.08,[Ar]4s2,4,2,0,0,0,0,0,0,2,1,231,6.113
Sc,21,24,44.95591,[Ar]4s2 3d1,4,2,0,0,3,1,0,0,3,1.36,211,6.561
Ti,22,26,47.867,[Ar]4s2 3d2,4,2,0,0,3,2,0,0,"+4, +3, +2",1.54,187,6.828
