M,A,X,c_M,c_A,c_X,a,c
Hf,S,B,1,1,1,3.4671,12.1046
Nb,S,B,1,1,1,3.335,11.5505
Zr,S,B,1,1,1,3.50701,12.28247
Hf,Se,B,1,1,1,3.5228,12.478
Zr,Se,B,1,1,1,3.644,12.6323
Hf,Te,B,1,1,1,3.60475,13.12663
Cr,Al,C,1,1,1,2.86454,12.82783
Hf,Al,C,1,1,1,3.28158,14.37785
Nb,Al,C,1,1,1,3.10667,13.856
Ta,Al,C,1,1,1,3.0756,13.856
Ti,Al,C,1,1,1,3.04795,13.63421
V,Al,C,1,1,1,2.91395,13.15045
Zr,Al,C,1,1,1,3.32428,14.57305
Nb,As,C,1,1,1,3.317,11.9
V,As,C,1,1,1,3.113,11.385
Nb,Au,C,1,1,1,3.175,14.062
Ti,Au,C,1,1,1,3.0686,13.741
Ti,Cd,C,1,1,1,3.099,14.412
Nb,Co,C,1,1,1,3.13515,13.67005
Ta,Co,C,1,1,1,3.115,13.357
Nb,Cu,C,1,1,1,3.145,13.4515
Nb,Fe,C,1,1,1,3.12855,13.61988
Ta,Fe,C,1,1,1,3.103,13.7
Cr,Ga,C,1,1,1,2.88965,12.62373
Mn,Ga,C,1,1,1,2.9,12.55
Mo,Ga,C,1,1,1,3.017,13.18
Nb,Ga,C,1,1,1,3.131,13.565
Ta,Ga,C,1,1,1,3.104,13.57
Ti,Ga,C,1,1,1,3.0664,13.31875
V,Ga,C,1,1,1,2.93833,12.85167
Cr,Ge,C,1,1,1,2.9555,12.12975
Nb,Ge,C,1,1,1,3.24,12.82
Ti,Ge,C,1,1,1,3.079,12.93
V,Ge,C,1,1,1,3.0025,12.256775
Hf,In,C,1,1,1,3.30675,14.73075
Nb,In,C,1,1,1,3.172,14.37
Ti,In,C,1,1,1,3.1324,14.06704
Zr,In,C,1,1,1,3.34767,14.90666667
Nb,Ni,C,1,1,1,3.133,13.58995
Ta,Ni,C,1,1,1,3.1256,13.2152
Nb,P,C,1,1,1,3.286,11.56
V,P,C,1,1,1,3.077,10.91
Hf,Pb,C,1,1,1,3.558,14.4675
Sc,Pb,C,1,1,1,3.4003,14.7475
Ti,Pb,C,1,1,1,3.209,13.81
Zr,Pb,C,1,1,1,3.384,14.6665
Nb,Pt,C,1,1,1,3.151,13.831
Hf,S,C,1,1,1,3.3685,12.0065
Nb,S,C,1,1,0.83,3.273,11.47
Nb,S,C,1,1,0.4,3.273,11.47
Nb,S,C,1,1,0.67,3.28,11.5
Nb,S,C,1,1,1,3.307,11.55
Ti,S,C,1,1,1,3.21,11.2
Zr,S,C,1,1,1,3.40548,12.1348
Nb,Sb,C,1,1,1,3.329,13.21
Hf,Se,C,1,1,1,3.422,12.391
Zr,Se,C,1,1,1,3.411,12.147
Hf,Sn,C,1,1,1,3.315,14.38333333
Nb,Sn,C,1,1,1,3.243,13.80333333
Sc,Sn,C,1,1,1,3.368,14.653
Ti,Sn,C,1,1,1,3.16937,13.67555
V,Sn,C,1,1,1,2.981,13.47
Zr,Sn,C,1,1,1,3.35133,14.58333
Hf,Tl,C,1,1,1,3.322,14.6275
Ti,Tl,C,1,1,1,3.158,13.98
Zr,Tl,C,1,1,1,3.363,14.789
Nb,Zn,C,1,1,1,3.148,14.073
Ti,Al,N,1,1,1,3.00408,13.63733
Ti,Fe,N,1,1,1,3.0066,13.6307
Cr,Ga,N,1,1,1,2.881,12.77
Ti,Ga,N,1,1,1,3.004,13.3
V,Ga,N,1,1,1,2.905,12.913
Ti,In,N,1,1,1,3.074,13.975
Zr,In,N,1,1,1,3.277,14.84
"Ti, V",Al,C,"0.75, 0.25",1,1,3.011,13.51
"Ti, V",Al,C,"0.5, 0.5",1,1,2.97775,13.4095
"Ti, V",Al,C,"0.25, 0.75",1,1,2.927,13.277
"Ti, Cr",Al,C,"0.75, 0.25",1,1,3.041,13.593
"Ti, Cr",Al,C,"0.25, 0.75",1,1,2.901,13.105
"V, Cr",Al,C,"0.75, 0.25",1,1,2.9038,13.046
"V, Cr",Al,C,"0.5, 0.5",1,1,2.89065,12.95541429
"V, Cr",Al,C,"0.25, 0.25",1,1,2.876,13.03966667
"Nb, Zr",Al,C,"0.6, 0.4",1,1,3.194,14.36
"Ti, V",Al,C,"0.6, 0.4",1,1,2.998,13.476
"Ti, V",Al,C,"0.4, 0.6",1,1,2.958,13.389
"Ti, V",Al,C,"0.3, 0.7",1,1,2.946,13.348
"V, Cr",Al,C,"0.1, 0.9",1,1,2.86755,12.84
"V, Cr",Al,C,"0.3, 0.7",1,1,2.879,12.857
"V, Cr",Al,C,"0.7,0.3",1,1,2.896,13.008
"Ti, Nb",Al,C,"0.5, 0.5",1,1,3.0785,13.7725
"Ti, Nb",Al,C,"0.47, 0.53",1,1,3.077,13.79
"Ti, Cr",Al,C,"0.05, 0.95",1,1,2.867,12.8465
"Ti, Ta",Al,C,"0.4, 0.6",1,1,3.0585,13.7797
"V, Nb",Al,C,"0.5, 0.5",1,1,3.0274,13.494
"V, Ta",Al,C,"0.65, 0.35",1,1,2.9765,13.38
"Ti, Zr",Al,C,"0.1, 0.9",1,1,3.314,14.507
"Ti, Zr",Al,C,"0.2, 0.8",1,1,3.2656,14.363
"Ti, Zr",Al,C,"0.5, 0.5",1,1,3.1813,14.0204
"Ti, Zr",Al,C,"0.665, 0.335",1,1,3.1627,13.9534
"Ti, Zr",Al,C,"0.7, 0.3",1,1,3.1583,13.9307
"Ti, Zr",Al,C,"0.8, 0.2",1,1,3.1314,13.8381
"Ti, Zr",Al,C,"0.9, 0.1",1,1,3.0919,13.75
"Hf, Ta",Al,C,"0.05, 0.95",1,1,3.081,13.92
"Hf, Ta",Al,C,"0.1, 0.9",1,1,3.093,13.95
"Hf, Ta",Al,C,"0.15, 0.85",1,1,3.104,13.96
"Hf,Ta",Al,C,"0.2, 0.8",1,1,3.11,14.02
"Cr, Mn",Al,C,"0.94, 0.06",1,1,2.85,12.85
"Cr, Mn",Al,C,"0.965, 0.035",1,1,2.86241,12.81719
"Cr, Mn",Al,C,"0.958, 0.042",1,1,2.86203,12.81967
"Cr, Mn",Al,C,"0.904, 0.096",1,1,2.86085,12.82047
"Cr, Fe",Al,C,"0.99, 0.01",1,1,2.86364,12.79982
"Cr, Fe",Al,C,"0.98, 0.02",1,1,2.86282,12.80457
"Cr, Fe",Al,C,"0.9, 0.10",1,1,2.855,12.8
"Cr, Fe",Al,C,"0.8, 0.20",1,1,2.85,12.78
"V, Mn",Al,C,"0.95, 0.05",1,1,2.91394,13.1419
"V, Mn",Al,C,"0.9, 0.10",1,1,2.91111,13.1241
"V, Mn",Al,C,"0.85, 0.15",1,1,2.91369,13.1339
"Sc, Nb",Al,C,"0.31, 0.69",1,1,3.12915,13.9736
"Cr, Mn",Al,C,"0.5, 0.50",1,1,2.905,12.56925
"Zr, Nb",Al,C,"0.9, 0.10",1,1,3.296,14.508
"Zr, Nb",Al,C,"0.8, 0.20",1,1,3.267,14.451
"Cr, Mn",Ga,C,"0.7, 0.30",1,1,2.89,12.62
"Mn, Mo",Ga,C,"0.5, 0.50",1,1,2.87,12.99
"Ti, Cr",Ge,C,"0.125, 0.875",1,1,2.971,12.143
"Ti, Cr",Ge,C,"0.25, 0.75",1,1,2.982,12.16
"V, Cr",Ge,C,"0.25, 0.76",1,1,2.97,12.157
"V, Cr",Ge,C,"0.5, 0.50",1,1,2.97865,12.17845
"V, Cr",Ge,C,"0.75, 0.25",1,1,2.994,12.227
"Cr, Mn",Ge,C,"0.95, 0.05",1,1,2.957,12.108
"Cr, Mn",Ge,C,"0.875, 0.125",1,1,2.958,12.11
"Cr, Mn",Ge,C,"0.75, 0.25",1,1,2.9525,12.106
"Cr, Fe",Ge,C,"0.975, 0.025",1,1,2.954,12.104
"Cr, Fe",Ge,C,"0.95, 0.05",1,1,2.955,12.103
"Cr, Mo",Ge,C,"0.95, 0.05",1,1,2.965,12.106
"Cr, Mo",Ge,C,"0.875, 0.125",1,1,2.979,12.165
"Cr, Mo",Ge,C,"0.75, 0.25",1,1,2.9525,12.106
"Cr, Mo",Ge,C,"0.625, 0.375",1,1,3.028,12.289
"Cr, Mo",Ge,C,"0.5, 0.50",1,1,3.052,12.34
"Ti, Zr",In,C,"0.5, 0.50",1,1,3.277,14.61
"Ti, Hf",In,C,"0.5, 0.50",1,1,3.211,14.429
"Ti, V",S,C,"0.75, 0.25",1,1,3.197,11.11
"Ti, V",S,C,"0.4, 0.60",1,1,3.164,10.86
Cr,"Al, Ga",C,1,"0.6, 0.4",1,2.8668,12.762
Cr,"Al, Si",C,1,"0.88,0.12",1,2.85,12.83
Hf,"S, Se",C,1,"0.75,0.25",1,3.38,12.107
Hf,"S, Se",C,1,"0.5, 0.5",1,3.395,12.19
Hf,"S, Se",C,1,"0.25, 0.75",1,3.407,12.291
Nb,"Au, Al",C,1,"0.5, 0.5",1,3.166,14.237
Nb,"Pd, Sn",C,1,"0.5, 0.6",1,3.161,14.231
Nb,"Al, Pt",C,1,"0.4, 0.6",1,3.152,13.763
Ti,"Al, Cu",C,1,"0.1, 0.9",1,3.037,13.532
Ti,"Al, Sn",C,1,"0.8, 0.2",1,3.0772,13.68615
Ti,"Al, Sn",C,1,"0.5, 0.5",1,3.1077,13.7105
Ti,"Al, Sn",C,1,"0.2, 0.8",1,3.142,13.7157
Ti,"Al, In",C,1,"0.8, 0.2",1,3.074,13.7501
Ti,"Al, In",C,1,"0.5, 0.5",1,3.1126,13.71142
Ti,"Al, In",C,1,"0.2, 0.8",1,3.1211,14.0073
Ti,"Ga, Sn",C,1,"0.6, 0.4",1,3.115,13.491
Ti,"Ga, Sn",C,1,"0.8, 0.2",1,3.095,13.423
Ti,"Ga, Sn",C,1,"0.9, 0.1",1,3.081,13.414
V,"Al, Ga",C,1,"0.559, 0.441",1,2.921,13.047
V,"Al, Ga",C,1,"0.434, 0.566",1,2.928,12.998
Zr,"Al, Bi",C,1,"0.42, 0.58",1,3.335,14.51
Zr,"Al, Bi",C,1,"0.5, 0.5",1,3.344,14.51
Zr,"Al, Sn",C,1,"0.6, 0.4",1,3.338,14.576
Zr,"Al, Sn",C,1,"0.5, 0.5",1,3.34683,14.5695
Zr,"Al, Sn",C,1,"0.4, 0.6",1,3.349,14.579
Zr,"Al, Sn",C,1,"0.2, 0.8",1,3.345,14.567
Zr,"Al, Sb",C,1,"0.3, 0.7",1,3.367,14.62
Zr,"Al, Pb",C,1,"0.35, 0.65",1,3.3649,14.645
Ti,Al,"C, N",1,1,"0.5, 0.5",3.023,13.60933
Ti,Al,"C, N",1,1,"0.25, 0.75",3.0071,13.605
Ti,Al,"C, N",1,1,"0.75, 0.25",3.0462,13.614
Nb,S,"B, C",1,1,"0.05, 0.95",3.284,11.5
Nb,S,"B, C",1,1,"0.20, 0.80",3.293,11.51
